タイトル,著者,リンク,画像URL,あらすじ
傲慢と善良 (朝日文庫),辻村 深月,https://bookmeter.com/books/19991860,https://m.media-amazon.com/images/I/51EBTfMrA9L._SL500_.jpg,婚約者・坂庭真実が姿を消した。その居場所を探すため、西澤架は、彼女の「過去」と向き合うことになる。「恋愛だけでなく生きていくうえでのあらゆる悩みに答えてくれる物語」と読者から圧倒的な支持を得た作品が遂に文庫化。《解説・朝井リョウ》
イデアの影 The shadow of Ideas (講談社文庫),森 博嗣,https://bookmeter.com/books/22649978,https://m.media-amazon.com/images/I/01MKUOLsA5L._SL500_.gif,あらすじ不明
学生街の殺人 (講談社文庫 ひ 17-3),東野 圭吾,https://bookmeter.com/books/577393,https://m.media-amazon.com/images/I/513mydLPrbL._SL500_.jpg,あらすじ不明
殺人鬼フジコの衝動 (徳間文庫),真梨幸子,https://bookmeter.com/books/3130291,https://m.media-amazon.com/images/I/5133Y3qu94L._SL500_.jpg,一家惨殺事件のただひとりの生き残りとして新たな人生を歩み始めた十一歳の少女は、なぜ伝説の殺人鬼になってしまったのか？　「人生は、薔薇色のお菓子のよう」。呟きながら、また一人フジコは殺す。最後のページがもたらす衝撃と戦慄に、口コミで50万部突破の異色ミステリ！
世界でいちばん透きとおった物語２ (新潮文庫 す 31-3),杉井光,https://bookmeter.com/books/22360965,https://m.media-amazon.com/images/I/41CtW8O90-L._SL500_.jpg,累計50万部突破の超話題作「セカスキ」待望の続編。新人小説家･燈真と博覧強記の編集者･霧子さんのバディが、ある小説の遺稿に秘められた想いを解き明かすビブリオ・ミステリ。
アヒルと鴨のコインロッカー (創元推理文庫),伊坂 幸太郎,https://bookmeter.com/books/578277,https://m.media-amazon.com/images/I/41GVO9IaxHL._SL500_.jpg,あらすじ不明
カフネ,阿部 暁子,https://bookmeter.com/books/21923916,https://m.media-amazon.com/images/I/41zJF4rs6bL._SL500_.jpg,☆2025年本屋大賞受賞作☆【第8回未来屋小説大賞】【第1回あの本、読みました?大賞】一緒に生きよう。あなたがいると、きっとおいしい。やさしくも、せつない。この物語は、心にそっと寄り添ってくれる。最愛の弟が急死した。29歳の誕生日を祝ったばかりだった。姉の野宮薫子は遺志に従い弟の元恋人・小野寺せつなと会うことになる。無愛想なせつなに憤る薫子だったが、疲労がたたりその場で倒れてしまう。実は離婚をきっかけに荒んだ生活を送っていた薫子。家まで送り届けてくれたせつなに振る舞われたのは、それまでの彼女の態度からは想像もしなかったような優しい手料理だった。久しぶりの温かな食事に身体がほぐれていく。そんな薫子にせつなは家事代行サービス会社『カフネ』の仕事を手伝わないかと提案する。
禁忌の子,山口 未桜,https://bookmeter.com/books/22154734,https://m.media-amazon.com/images/I/51mfoS-SLJL._SL500_.jpg,☆2025年本屋大賞・第4位☆＊第3位「週刊文春」ミステリーベスト10 （2024年12月12日号）救急医・武田の元に搬送されてきた、一体の溺死体。その身元不明の遺体「キュウキュウ十二」は、なんと武田と瓜二つであった。彼はなぜ死んだのか、そして自身との関係は何なのか、武田は旧友で医師の城崎と共に調査を始める。しかし鍵を握る人物に会おうとした矢先、相手が密室内で死体となって発見されてしまう。自らのルーツを辿った先にある、思いもよらぬ真相とは――。過去と現在が交錯する、医療×本格ミステリ！　第三十四回鮎川哲也賞受賞作。
恋とか愛とかやさしさなら,一穂 ミチ,https://bookmeter.com/books/22193622,https://m.media-amazon.com/images/I/41G6f-B4vAL._SL500_.jpg,☆2025年本屋大賞ノミネート☆プロポーズの翌日、恋人が盗撮で捕まった。カメラマンの新夏は啓久と交際5年。東京駅の前でプロポーズしてくれた翌日、啓久が通勤中に女子高生を盗撮したことで、ふたりの関係は一変する。「二度としない」と誓う啓久とやり直せるか、葛藤する新夏。啓久が”出来心”で犯した罪は周囲の人々を巻き込み、思わぬ波紋を巻き起こしていく。信じるとは、許すとは、愛するとは。男と女の欲望のブラックボックスに迫る、著者新境地となる恋愛小説。
成瀬は信じた道をいく,宮島 未奈,https://bookmeter.com/books/21700595,https://m.media-amazon.com/images/I/51tF287bwBL._SL500_.jpg,☆2025年本屋大賞ノミネート☆成瀬の人生は、今日も誰かと交差する。「ゼゼカラ」ファンの小学生、娘の受験を見守る父、近所のクレーマー主婦、観光大使になるべく育った女子大生……。個性豊かな面々が新たに成瀬あかり史に名を刻む中、幼馴染の島崎が故郷へ帰ると、成瀬が書置きを残して失踪しており……!?
成瀬は天下を取りにいく,宮島　未奈,https://bookmeter.com/books/20716260,https://m.media-amazon.com/images/I/51hOhAQd-0L._SL500_.jpg,【2024年本屋大賞 大賞受賞作】【「読書メーター OF THE TEAR 2023-2024」第１位】2020年、中２の夏休みの始まりに、幼馴染の成瀬がまた変なことを言い出した。コロナ禍に閉店を控える西武大津店に毎日通い、中継に映るというのだが……。M-1に挑戦したかと思えば、自身の髪で長期実験に取り組み、市民憲章は暗記して全うする。今日も全力で我が道を突き進む成瀬あかりから、きっと誰もが目を離せない。2023年、最注目の新人が贈る傑作青春小説！
謎の香りはパン屋から,土屋うさぎ,https://bookmeter.com/books/22353823,https://m.media-amazon.com/images/I/513miymxljL._SL500_.jpg,謎はクロワッサンのように折り重なり、カレーパンのように刺激的――第23回『このミステリーがすごい！』大賞・大賞受賞作は、パン屋での〈日常の謎〉を解く、“美味しい”ミステリー！ 「焦げたクロワッサン」「夢見るフランスパン」「恋するシナモンロール」「さよならチョココロネ」「思い出のカレーパン」……5つの謎からなる、人の死なない連作ミステリー短編集。
月とアマリリス,町田 そのこ,https://bookmeter.com/books/22467451,https://m.media-amazon.com/images/I/31qsT7YDFFL._SL500_.jpg,本屋大賞作家の新境地となるサスペンス巨編声なき声が届くなら、今度こそ記者を諦めない。『52ヘルツのクジラたち』で2021年本屋大賞を受賞後、『星を掬う』『宙ごはん』で同賞に3年連続ノミネート。人間ドラマを中心に執筆してきた町田そのこさん、初のサスペンス巨編!北九州市の高蔵山で一部が白骨化した遺体が発見された。地元のタウン誌でライターとして働く飯塚みちるは、元上司で週刊誌編集者の堂本宗次郎の連絡でそのニュースを知る。遺体と一緒に花束らしきものが埋めれられており、死因は不明だが大きな外傷はなかった。警察は、遺体を埋葬するお金のない者が埋めたのではないかと考えているという。遺体の着衣のポケットの中には、メモが入っていた。部分的に読めるその紙には『ありがとう、ごめんね。みちる』と書かれていた。遺体の背景を追って記事にできないかという宗次郎の依頼を、みちるは断る。みちるには、ある事件の記事を書いたことがきっかけで、週刊誌の記者を辞めた過去があった。自分と同じ「みちる」という名前、中学生のころから憧れ、頑張り続けた記者の仕事。すべてから逃げたままの自分でいいのか。みちるは、この事件を追うことを決めた──。
人魚が逃げた,青山 美智子,https://bookmeter.com/books/22173877,https://m.media-amazon.com/images/I/91LP-ldke3L._SL500_.jpg,☆2025年本屋大賞・第5位☆ある３月の週末、ＳＮＳ上で「人魚が逃げた」という言葉がトレンド入りした。どうやら「王子」と名乗る謎の青年が銀座の街をさまよい歩き、「僕の人魚が、いなくなってしまって……逃げたんだ。この場所に」と語っているらしい。彼の不可解な言動に、人々はだんだん興味を持ち始め――。そしてその「人魚騒動」の裏では、５人の男女が「人生の節目」を迎えていた。12歳年上の女性と交際中の元タレントの会社員、娘と買い物中の主婦、絵の蒐集にのめり込みすぎるあまり妻に離婚されたコレクター、文学賞の選考結果を待つ作家、高級クラブでママとして働くホステス。銀座を訪れた５人を待ち受ける意外な運命とは。そして「王子」は人魚と再会できるのか。そもそも人魚はいるのか、いないのか……。
コンビニ人間,村田 沙耶香,https://bookmeter.com/books/11104585,https://m.media-amazon.com/images/I/518D40TE5gL._SL500_.jpg,【第155回芥川賞受賞作品】36歳未婚女性、古倉恵子。大学卒業後も就職せず、コンビニのバイトは18年目。これまで彼氏なし。日々食べるのはコンビニ食、夢の中でもコンビニのレジを打ち、清潔なコンビニの風景と「いらっしゃいませ!」の掛け声が、毎日の安らかな眠りをもたらしてくれる。ある日、婚活目的の新入り男性、白羽がやってきて、そんなコンビニ的生き方は恥ずかしいと突きつけられるが…。「普通」とは何か?現代の実存を軽やかに問う衝撃作。
楽園の楽園 (単行本),伊坂 幸太郎,https://bookmeter.com/books/22378849,https://m.media-amazon.com/images/I/51ByRox5nLL._SL500_.jpg,あらすじ不明
架空犯,東野 圭吾,https://bookmeter.com/books/22175056,https://m.media-amazon.com/images/I/419+LtAwKLL._SL500_.jpg,『白鳥とコウモリ』の世界再び——シリーズ最新作​「まるで幽霊を追いかけているようだ」​​焼け落ちた屋敷から見つかったのは、​都議会議員と元女優夫婦の遺体だった。​華やかな人生を送ってきた二人に​何が起きたのか。​​​「誰にでも青春があった。​​被害者にも犯人にも、​​そして刑事にも——。」​
C線上のアリア,湊 かなえ,https://bookmeter.com/books/22453410,https://m.media-amazon.com/images/I/51wybFawR0L._SL500_.jpg,あらすじ不明
藍を継ぐ海,伊与原　新,https://bookmeter.com/books/22099751,https://m.media-amazon.com/images/I/41ygaSqeKDL._SL500_.jpg,【第172回直木賞受賞】数百年先に帰ってくるかもしれない。懐かしい、この浜辺に―ー。徳島の海辺の小さな町で、なんとかウミガメの卵を孵化させ、自分ひとりの力で育てようとする、祖父と二人暮らしの中学生の女の子。年老いた父親のために隕石を拾った場所を偽ろうとする北海道の身重の女性。山口の見島で、萩焼に絶妙な色味を出すという伝説の土を探す元カメラマンの男。長崎の空き家で、膨大な量の謎の岩石やガラス製品を発見した若手公務員。都会から逃れ移住した奈良の山奥で、ニホンオオカミに「出会った」ウェブデザイナーの女性ーー。人間の生をはるかに超える時の流れを見据えた、科学だけが気づかせてくれる大切な未来。『宙わたる教室』『月まで三キロ』『八月の銀の雪』の著者による、心揺さぶられる全五篇。
方舟 (講談社文庫 ゆ 10-3),夕木 春央,https://bookmeter.com/books/22032679,https://m.media-amazon.com/images/I/51HdwV59CIL._SL500_.jpg,あらすじ不明
アルプス席の母,早見 和真,https://bookmeter.com/books/21840289,https://m.media-amazon.com/images/I/41oElaunHeL._SL500_.jpg,☆2025年本屋大賞・第2位☆まったく新しい高校野球小説が、開幕する。秋山菜々子は、神奈川で看護師をしながら一人息子の航太郎を育てていた。湘南のシニアリーグで活躍する航太郎には関東一円からスカウトが来ていたが、選び取ったのはとある大阪の新興校だった。声のかからなかった甲子園常連校を倒すことを夢見て。息子とともに、菜々子もまた大阪に拠点を移すことを決意する。不慣れな土地での暮らし、厳しい父母会の掟、激痩せしていく息子。果たしてふたりの夢は叶うのか!?補欠球児の青春を描いたデビュー作『ひゃくはち』から15年。主人公は選手から母親に変わっても、描かれるのは生きることの屈託と大いなる人生賛歌! かつて誰も読んだことのない著者渾身の高校野球小説が開幕する。
ブレイクショットの軌跡,逢坂 冬馬,https://bookmeter.com/books/22448118,https://m.media-amazon.com/images/I/51QDQlVCaxL._SL500_.jpg,【第173回直木賞候補作】移り変わっていくブレイクショットの所有者を通して、現代日本社会の諸相と複雑なドラマが展開されていく。人間の多様性と不可解さをテーマに、8つの物語の「軌跡」を奇跡のような構成力で描き切った、『同志少女よ、敵を撃て』を超える最高傑作。
それいけ!平安部,宮島 未奈,https://bookmeter.com/books/22538528,https://m.media-amazon.com/images/I/51+6VHFZagL._SL500_.jpg,ピュア度100%! ハートフル青春小説いみじ! 新入生、部活つくったってよ県立菅原高校の入学式当日、同じクラスになった平尾安以加から「平安時代に興味ない?」と牧原栞は声をかけられた。「平安部を作りたい」という安以加の熱意に入部を決めるが、新部を創設するには5人の部員が必要だった。あと3人(泣)!!クラスメートから上級生まで声をかけ、部員集めに奔走するが──「平安部って、何やるの?」
